"Word","Key","Count","Keep","Filter","Defining","Bitter","Sweet","Sour","Salty","Chemical","Pungent","Oxidized","Microbiological","Floral","Spicy","Fruity","Vegetative","Nutty","Caramelized","Woody","Earthy","Effect"
"aggressive","aggressive","9",,,"x",,,,,,,,,,,,,,,,,"raise"
"astringent","astringent","6",,,"x",5,,,,,,,,,,,,,,,,
"austere","austere","8",,,"x",4,,4,,,,,,,,,,,,,,
"autolytic","autolytic","3",,,"x",,,,,,,,5,2,,,,,,,,
"balance","balance","29",,,"x",,,,,,,,,,,,,,,,,"balance"
"balanced","balance","102",,,"x",,,,,,,,,,,,,,,,,"balance"
"balances","balance","2",,,"x",,,,,,,,,,,,,,,,,"balance"
"big","big","169",,,"x",,,,,,,,,,,,,,,,,"raise"
"bold","bold","38",,,"x",,,,,,,,,,,,,,,,,"raise"
"bright","bright","109",,,"x",,,3,,,,,,,,,,,,,,"raise"
"brightly","bright","21",,,"x",,,3,,,,,,,,,,,,,,"raise"
"clear","clear","21",,,"x",,,,,,,,,,,,,,,,,
"closed","closed","43",,,"x",,,,,,,,,,,,,,,,,"lower"
"cloying","cloying","2",,,"x",,5,,,,,,,,,,,,,,,
"concentrated","concentrated","30",,,"x",,,,,,,,,,,,,,,,,"raise"
"crisp","crisp","136",,,"x",,,3,,,,,,,,,,,,,,
"crisply","crisp","3",,,"x",,,3,,,,,,,,,,,,,,
"delicate","delicate","22",,,"x",,,,,,,,,,,,,,,,,"lower"
"dense","dense","57",,,"x",,,,,,,,,,,,,,,,,"raise"
"dried","dry","62",,,"x",,,,,,,,,,,0,,,,,,
"dry","dry","280",,,"x",,,,,,,,,,,0,,,,,,
"drying","dry","13",,,"x",,,,,,,,,,,0,,,,,,
"easy","easy","27",,,"x",,,,,,,,,,,,,,,,,"lower"
"edgy","edgy","2",,,"x",,,4,,,,,,,,,,,,,,
"elegance","elegant","21",,,"x",,,,,,,,,,,,,,,,,"balance"
"elegant","elegant","46",,,"x",,,,,,,,,,,,,,,,,"balance"
"elegantly","elegant","20",,,"x",,,,,,,,,,,,,,,,,"balance"
"ethereal","ethereal","2",,,"x",,,,,,,,,,,,,,,,,"lower"
