"Word","Key","Count","Keep","Filter","Defining","Bitter","Sweet","Sour","Salty","Chemical","Pungent","Oxidized","Microbiological","Floral","Spicy","Fruity","Vegetative","Nutty","Caramelized","Woody","Earthy","Effect"
"clean","clean","91",,1,"x",,,,,,,,,,,,,,,,,"balance"
"moist","moist","3",,1,"x",,,,,,,,,,,,,,,,,
"plush","plush","70",,1,"x",,,,,,,,,,,,,,,,,
"plushness","plush","2",,1,"x",,,,,,,,,,,,,,,,,
"sharp","sharp","15",,1,"x",,,,,,,,,,,,,,,,,
"short","short","20",,1,"x",,,,,,,,,,,,,,,,,
"structured","structured","50",,1,"x",,,,,,,,,,,,,,,,,
"velvety","velvety","31",,1,"x",,,,,,,,,,,,,,,,,
"zippy","zippy","3",,1,"x",,,,,,,,,,,,,,,,,
"aged","aged","1086",,1,,,,,,,,,,,,,,,,,,
"alive","alive","3",,1,,,,,,,,,,,,,,,,,,
"alluring","alluring","37",,1,,,,,,,,,,,,,,,,,,
"ancient","ancient","7",,1,,,,,,,,,,,,,,,,,,
"arianses","arianses","7",,1,,,,,,,,,,,,,,,,,,
"arresting","arresting","16",,1,,,,,,,,,,,,,,,,,,
"assertive","assertive","3",,1,,,,,,,,,,,,,,,,,,
"backbone","backbone","28",,1,,,,,,,,,,,,,,,,,,
"bacon","bacon","30",,1,,,,,1,,,1,,,,,,,1,1,,
"beautiful","beautiful","87",,1,,,,,,,,,,,,,,,,,,
"beautifully","beautifully","134",,1,,,,,,,,,,,,,,,,,,
"beef","beef","6",,1,,,1,,1,,,,,,,,,,1,1,,
"blend","blend","26",,1,,,,,,,,,,,,,,,,,,
"blondes","blondes","9",,1,,,,,,,,,,,,,,,,,,
"blood","blood","5",,1,,1,,,,,,1,,,,,,,,,,
"bloody","blood","5",,1,,1,,,,,,1,,,,,,,,,,
"bone","bone","12",,1,,,,,,,,,,,,,,,,,,
"braised","braised","2",,1,,,,,,,,1,,,,,,,1,,,
"brawn","brawn","2",,1,,,,,,,,,,,,,,,,,,
"brawny","brawn","11",,1,,,,,,,,,,,,,,,,,,
"breathtaking","breathtaking","7",,1,,,,,,,,,,,,,,,,,,
"brilliantly","brilliantly","5",,1,,,,,,,,,,,,,,,,,,
"brine","brine","8",,1,,,,,,,,,,,,,,,,,,
"briny","brine","2",,1,,,,,,,,,,,,,,,,,,
"brown","brown","16",,1,,,,,,,,,,,,,,,,,,
"brusque","brusque","2",,1,,,,,,,,,,,,,,,,,,
"bubbles","bubbles","2",,1,,,,,,,,,,,,,,,,,,
